year,week,team_1,team_1_score,team_1_proj,team_1_result,team_2,team_2_score,team_2_proj,team_2_result
2018,4,Harrison,167,102,Win,Weston,110,123,Loss
2018,4,Korben,141,120,Win,Cody,115,103,Loss
2018,5,Abhi,149,131,Win,Brayden,100,118,Loss
2018,5,Ben,133,119,Win,Griffin,97,108,Loss
2018,5,Harrison,103,115,Win,Cody,80,108,Loss
2018,5,Korben,84,107,Loss,Rhett,119,112,Win
2018,5,Peyton,111,117,Loss,Weston,155,123,Win
2018,6,Abhi,132,136,Loss,Harrison,134,112,Win
2018,6,Ben,101,118,Loss,Korben,112,120,Win
2018,6,Brayden,131,117,Loss,Weston,145,117,Win
2018,6,Griffin,84,110,Loss,Cody,86,107,Win
2018,6,Peyton,153,118,Win,Rhett,128,115,Loss
2018,7,Abhi,142,117,Win,Weston,112,130,Loss
2018,7,Ben,119,113,Win,Peyton,116,120,Loss
2018,7,Brayden,117,125,Win,Harrison,102,106,Loss
2018,7,Griffin,97,99,Loss,Rhett,131,108,Win
2018,7,Korben,92,104,Loss,Cody,99,105,Win
2018,8,Abhi,131,124,Win,Griffin,62,101,Loss
2018,8,Ben,152,126,Win,Cody,98,108,Loss
2018,8,Brayden,139,130,Win,Peyton,117,116,Loss
2018,8,Harrison,123,105,Loss,Weston,171,134,Win
2018,8,Korben,100,112,Loss,Rhett,127,112,Win
2018,9,Abhi,126,129,Loss,Brayden,144,126,Win
2018,9,Ben,106,107,Loss,Rhett,127,106,Win
2018,9,Griffin,99,101,Loss,Korben,150,118,Win
2018,9,Harrison,103,117,Win,Peyton,61,83,Loss
2018,9,Weston,117,109,Win,Cody,115,112,Loss
2018,10,Abhi,122,125,Loss,Ben,124,111,Win
2018,10,Brayden,108,128,Loss,Griffin,164,109,Win
2018,10,Harrison,81,110,Loss,Korben,110,126,Win
2018,10,Peyton,138,120,Loss,Weston,150,138,Win
2018,10,Rhett,139,112,Win,Cody,109,122,Loss
2018,11,Abhi,107,124,Loss,Peyton,146,125,Win
2018,11,Ben,103,104,Loss,Griffin,143,112,Win
2018,11,Brayden,152,137,Win,Cody,81,108,Loss
2018,11,Harrison,103,116,Loss,Rhett,136,113,Win
2018,11,Korben,119,122,Loss,Weston,145,133,Win
2018,12,Abhi,132,127,Win,Cody,90,113,Loss
2018,12,Ben,100,117,Loss,Harrison,143,92,Win
2018,12,Brayden,101,125,Loss,Rhett,117,109,Win
2018,12,Griffin,155,130,Win,Weston,139,144,Loss
2018,12,Korben,126,114,Loss,Peyton,144,120,Win
2018,13,Abhi,117,129,Loss,Rhett,139,114,Win
2018,13,Ben,96,108,Loss,Weston,105,131,Win
2018,13,Brayden,139,132,Win,Korben,108,116,Loss
2018,13,Griffin,71,115,Loss,Harrison,114,114,Win
2018,13,Peyton,111,126,Win,Cody,57,104,Loss
2018,14,Brayden,122,136,Loss,Peyton,125,124,Win
2018,14,Korben,116,115,Win,Weston,114,140,Loss
2018,15,Abhi,138,127,Win,Cody,64,73,Loss
2018,15,Ben,131,100,Win,Griffin,115,114,Loss
2018,15,Brayden,101,129,Win,Weston,83,130,Loss
2018,15,Harrison,78,111,Loss,Korben,85,117,Win
2018,15,Peyton,79,118,Loss,Rhett,113,112,Win
2018,16,Abhi,134,120,Win,Ben,119,101,Loss
2018,16,Griffin,83,119,Win,Cody,74,73,Loss
2018,16,Harrison,79,80,Loss,Peyton,100,118,Win
2018,16,Korben,134,124,Loss,Rhett,139,111,Win
2019,1,Abhi,174,152,Win,Cody,88,145,Loss
2019,1,Harrison,180,136,Win,Korben,159,150,Loss
2019,1,Ben,164,148,Win,Griffin,148,153,Loss
2019,1,Weston,154,156,Win,Saxon,87,128,Loss
2019,1,Brayden,99,151,Loss,Peyton,137,134,Win
2019,1,Rhett,149,154,Loss,Leighton,151,143,Win
2019,2,Abhi,131,157,Win,Peyton,129,144,Loss
2019,2,Harrison,117,150,Win,Leighton,108,143,Loss
2019,2,Ben,152,158,Win,Saxon,119,125,Loss
2019,2,Weston,128,150,Win,Griffin,111,148,Loss
2019,2,Brayden,143,139,Win,Cody,135,144,Loss
2019,2,Rhett,136,150,Loss,Korben,175,149,Win
2019,3,Abhi,193,156,Loss,Harrison,199,147,Win
2019,3,Ben,136,152,Win,Leighton,127,142,Loss
2019,3,Weston,175,154,Win,Rhett,128,145,Loss
2019,3,Brayden,97,138,Loss,Saxon,146,127,Win
2019,3,Griffin,122,156,Loss,Cody,176,133,Win
2019,3,Peyton,141,133,Loss,Korben,151,152,Win
2019,4,Abhi,193,148,Win,Leighton,121,137,Loss
2019,4,Harrison,94,151,Loss,Brayden,190,143,Win
2019,4,Ben,147,141,Loss,Griffin,154,129,Win
2019,4,Weston,121,151,Win,Peyton,120,128,Loss
2019,4,Rhett,103,141,Win,Cody,102,129,Loss
2019,4,Korben,93,144,Loss,Saxon,104,120,Win
2019,5,Abhi,146,141,Win,Rhett,121,145,Loss
2019,5,Harrison,186,136,Win,Weston,136,139,Loss
2019,5,Ben,188,156,Loss,Korben,192,150,Win
2019,5,Brayden,130,132,Win,Leighton,101,132,Loss
2019,5,Griffin,142,136,Win,Saxon,99,109,Loss
2019,5,Peyton,133,128,Loss,Cody,173,138,Win
2019,6,Abhi,177,155,Win,Brayden,131,138,Loss
2019,6,Harrison,111,127,Loss,Griffin,120,126,Win
2019,6,Ben,155,149,Loss,Weston,157,133,Win
2019,6,Rhett,155,139,Loss,Cody,162,146,Win
2019,6,Peyton,86,130,Loss,Leighton,120,136,Win
2019,6,Korben,139,151,Win,Saxon,92,120,Loss
2019,7,Abhi,162,148,Win,Saxon,110,121,Loss
2019,7,Harrison,115,134,Loss,Cody,140,128,Win
2019,7,Ben,93,131,Win,Rhett,80,130,Loss
2019,7,Weston,147,139,Win,Brayden,143,139,Loss
2019,7,Griffin,170,154,Win,Peyton,150,138,Loss
2019,7,Korben,117,150,Loss,Leighton,177,152,Win
2019,8,Abhi,211,155,Win,Korben,110,151,Loss
2019,8,Harrison,98,101,Loss,Rhett,106,135,Win
2019,8,Ben,168,142,Loss,Peyton,175,140,Win
2019,8,Weston,104,141,Loss,Cody,190,125,Win
2019,8,Brayden,166,142,Win,Griffin,144,144,Loss
2019,8,Leighton,113,144,Loss,Saxon,148,119,Win
2019,9,Abhi,155,144,Loss,Ben,160,140,Win
2019,9,Harrison,137,131,Win,Griffin,129,134,Loss
2019,9,Weston,202,129,Win,Saxon,88,108,Loss
2019,9,Brayden,119,132,Loss,Rhett,120,130,Win
2019,9,Peyton,125,112,Loss,Leighton,127,141,Win
2019,9,Korben,178,146,Win,Cody,149,134,Loss
2019,10,Abhi,140,135,Win,Leighton,133,135,Loss
2019,10,Harrison,114,116,Loss,Ben,170,145,Win
2019,10,Weston,84,134,Loss,Korben,171,156,Win
2019,10,Brayden,141,127,Loss,Cody,150,148,Win
2019,10,Griffin,133,148,Loss,Rhett,141,123,Win
2019,10,Peyton,134,136,Win,Saxon,102,86,Loss
2019,11,Abhi,107,144,Loss,Weston,151,123,Win
2019,11,Harrison,95,135,Win,Saxon,78,121,Loss
2019,11,Ben,149,153,Win,Brayden,118,147,Loss
2019,11,Griffin,115,122,Loss,Korben,116,154,Win
2019,11,Rhett,116,118,Loss,Peyton,143,141,Win
2019,11,Cody,151,137,Win,Leighton,142,133,Loss
2019,12,Abhi,122,125,Win,Peyton,89,124,Loss
2019,12,Harrison,97,126,Loss,Ben,142,129,Win
2019,12,Weston,128,138,Loss,Korben,132,139,Win
2019,12,Brayden,156,135,Win,Rhett,135,132,Loss
2019,12,Griffin,173,136,Win,Leighton,134,144,Loss
2019,12,Cody,85,154,Loss,Saxon,98,86,Win
2019,13,Abhi,149,149,Win,Griffin,146,157,Loss
2019,13,Harrison,111,127,Loss,Peyton,156,131,Win
2019,13,Ben,134,149,Loss,Cody,150,147,Win
2019,13,Weston,123,146,Loss,Leighton,126,141,Win
2019,13,Brayden,189,127,Win,Korben,94,159,Loss
2019,13,Rhett,83,127,Win,Saxon,69,90,Loss
2019,14,Abhi,133,153,Loss,Griffin,153,159,Win
2019,14,Harrison,128,123,Win,Ben,124,153,Loss
2019,14,Weston,123,140,Win,Korben,118,140,Loss
2019,14,Brayden,116,144,Win,Cody,115,151,Loss
2019,15,Abhi,148,154,Loss,Korben,159,146,Win
2019,15,Harrison,117,131,Loss,Brayden,171,138,Win
2019,15,Ben,160,139,Win,Cody,146,133,Loss
2019,15,Weston,158,122,Loss,Griffin,172,160,Win
2019,16,Abhi,113,150,Loss,Cody,199,139,Win
2019,16,Harrison,102,136,Loss,Weston,152,152,Win
2019,16,Ben,122,139,Loss,Korben,127,142,Win
2019,16,Brayden,151,151,Loss,Griffin,191,152,Win
2020,1,Abhi,141,159,Win,Weston,138,160,Loss
2020,1,Ben,113,147,Loss,Harrison,168,140,Win
2020,1,Saxon,120,139,Win,Griffin,99,126,Loss
2020,1,Peyton,181,140,Win,Rhett,130,156,Loss
2020,1,Korben,151,151,Loss,Brayden,157,143,Win
2020,1,James,125,149,Loss,Ryan,130,147,Win
2020,2,Abhi,128,159,Loss,Ryan,132,149,Win
2020,2,Ben,153,133,Loss,Brayden,178,144,Win
2020,2,Saxon,194,143,Win,Harrison,116,144,Loss
2020,2,Weston,168,162,Win,James,161,126,Loss
2020,2,Peyton,149,143,Win,Korben,124,145,Loss
2020,2,Griffin,116,137,Loss,Rhett,170,153,Win
2020,3,Abhi,152,152,Loss,Griffin,165,144,Win
2020,3,Ben,116,135,Win,Saxon,113,154,Loss
2020,3,Weston,175,162,Win,Peyton,147,136,Loss
2020,3,Korben,123,145,Loss,Rhett,200,146,Win
2020,3,Harrison,147,137,Win,Ryan,118,149,Loss
2020,3,Brayden,150,156,Win,James,141,138,Loss
2020,4,Abhi,176,153,Win,Harrison,117,139,Loss
2020,4,Ben,176,137,Win,Ryan,169,152,Loss
2020,4,Saxon,124,139,Win,James,115,132,Loss
2020,4,Weston,141,160,Loss,Rhett,178,163,Win
2020,4,Peyton,111,126,Loss,Brayden,147,163,Win
2020,4,Griffin,111,151,Loss,Korben,150,158,Win
2020,5,Abhi,154,149,Win,Peyton,149,128,Loss
2020,5,Ben,126,147,Win,Griffin,120,123,Loss
2020,5,Saxon,118,136,Loss,Weston,135,157,Win
2020,5,Korben,139,135,Loss,James,163,138,Win
2020,5,Rhett,150,150,Win,Ryan,146,150,Loss
2020,5,Harrison,132,148,Loss,Brayden,149,150,Win
2020,6,Abhi,132,152,Win,Ben,64,135,Loss
2020,6,Saxon,122,136,Loss,Rhett,158,161,Win
2020,6,Weston,173,138,Win,Ryan,119,135,Loss
2020,6,Peyton,101,145,Win,Griffin,93,120,Loss
2020,6,Korben,120,144,Loss,Brayden,131,132,Win
2020,6,Harrison,160,148,Win,James,113,134,Loss
2020,7,Abhi,169,139,Win,Korben,99,136,Loss
2020,7,Ben,158,130,Loss,Rhett,165,149,Win
2020,7,Saxon,90,137,Loss,Brayden,211,146,Win
2020,7,Weston,118,144,Loss,Harrison,129,136,Win
2020,7,Peyton,189,138,Win,James,79,134,Loss
2020,7,Griffin,140,129,Win,Ryan,103,134,Loss
2020,8,Abhi,116,137,Loss,James,165,134,Win
2020,8,Ben,117,140,Win,Griffin,116,131,Loss
2020,8,Saxon,112,129,Loss,Korben,128,133,Win
2020,8,Weston,131,147,Loss,Peyton,156,145,Win
2020,8,Rhett,147,121,Loss,Brayden,149,148,Win
2020,8,Harrison,118,148,Win,Ryan,115,123,Loss
2020,9,Abhi,126,152,Win,Saxon,113,130,Loss
2020,9,Ben,169,122,Win,Peyton,131,130,Loss
2020,9,Weston,177,141,Win,Griffin,168,130,Loss
2020,9,Korben,109,133,Win,Harrison,88,142,Loss
2020,9,Rhett,145,150,Win,James,126,131,Loss
2020,9,Brayden,156,152,Win,Ryan,108,131,Loss
2020,10,Abhi,154,150,Win,Brayden,139,154,Loss
2020,10,Ben,122,144,Win,Weston,112,138,Loss
