Player,GP,Avg,AdjustedAvg,EWMA,StDev,High,Low,Streak,LuckIndex,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16
Abhi,16,153.38,144.59,131.36,29.98,211.0,107.0,-3,-0.65,174.0,131.0,193.0,193.0,146.0,177.0,162.0,211.0,155.0,140.0,107.0,122.0,149.0,133.0,148.0,113.0
Cody,16,144.44,147.7,157.36,33.46,199.0,85.0,1,-0.1,88.0,135.0,176.0,102.0,173.0,162.0,140.0,190.0,149.0,150.0,151.0,85.0,150.0,115.0,146.0,199.0
Harrison,16,125.06,116.0,111.04,33.68,199.0,94.0,-2,1.47,180.0,117.0,199.0,94.0,186.0,111.0,115.0,98.0,137.0,114.0,95.0,97.0,111.0,128.0,117.0,102.0
Korben,16,139.44,134.49,131.73,30.79,192.0,93.0,2,1.12,159.0,175.0,151.0,93.0,192.0,139.0,117.0,110.0,178.0,171.0,116.0,132.0,94.0,118.0,159.0,127.0
Ben,16,147.75,144.43,137.18,22.73,188.0,93.0,-1,-1.71,164.0,152.0,136.0,147.0,188.0,155.0,93.0,168.0,160.0,170.0,149.0,142.0,134.0,124.0,160.0,122.0
Griffin,16,145.19,151.71,168.47,23.14,191.0,111.0,3,-1.13,148.0,111.0,122.0,154.0,142.0,120.0,170.0,144.0,129.0,133.0,115.0,173.0,146.0,153.0,172.0,191.0
Weston,16,140.19,138.82,143.17,28.13,202.0,84.0,1,1.34,154.0,128.0,175.0,121.0,136.0,157.0,147.0,104.0,202.0,84.0,151.0,128.0,123.0,123.0,158.0,152.0
Saxon,13,103.08,98.05,87.18,23.46,148.0,69.0,-1,1.64,87.0,119.0,146.0,104.0,99.0,92.0,110.0,148.0,88.0,102.0,78.0,98.0,69.0,,,
Brayden,16,141.25,146.43,152.06,28.43,190.0,97.0,-1,-0.62,99.0,143.0,97.0,190.0,130.0,131.0,143.0,166.0,119.0,141.0,118.0,156.0,189.0,116.0,171.0,151.0
Peyton,13,132.15,132.56,133.42,24.41,175.0,86.0,1,-1.0,137.0,129.0,141.0,120.0,133.0,86.0,150.0,175.0,125.0,134.0,143.0,89.0,156.0,,,
Rhett,13,121.0,116.76,111.01,23.29,155.0,80.0,1,0.14,149.0,136.0,128.0,103.0,121.0,155.0,80.0,106.0,120.0,141.0,116.0,135.0,83.0,,,
Leighton,13,129.23,130.56,131.41,19.66,177.0,101.0,1,-0.5,151.0,108.0,127.0,121.0,101.0,120.0,177.0,113.0,127.0,133.0,142.0,134.0,126.0,,,
