Player,GP,Avg,AdjustedAvg,EWMA_Avg,StDev,WinStreak,LuckIndex,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17
Abhi,17,138.24,132.08,125.61,30.58,0,-0.48,189.06,115.84,150.28,173.56,137.34,138.8,117.74,146.2,157.9,140.7,165.18,69.14,140.72,170.32,94.06,104.78,138.4
Weston,17,131.95,131.44,142.11,28.82,2,0.05,181.66,159.12,98.12,109.76,135.58,130.06,127.34,124.02,153.46,74.4,129.48,122.9,147.6,127.1,93.68,182.3,146.54
Peyton,17,128.11,126.81,134.52,25.13,1,-0.08,138.52,121.88,143.12,148.32,137.66,151.42,128.54,97.56,101.16,133.0,63.04,155.0,116.42,154.94,102.78,133.4,151.04
Brayden,17,133.85,134.29,124.45,28.7,0,-0.83,141.96,104.9,126.62,145.38,172.12,125.06,104.44,107.88,132.28,128.04,170.8,110.46,198.26,162.96,110.16,138.76,95.36
Rhett,17,139.66,140.32,140.95,27.48,0,0.04,152.58,107.82,169.12,92.0,177.88,156.84,126.16,135.68,97.16,170.38,141.52,109.68,177.4,157.08,119.36,140.48,143.06
Ryan,14,105.57,98.07,83.77,26.85,0,-1.45,99.88,125.1,118.18,107.74,158.54,86.9,127.98,109.62,141.94,95.96,70.24,72.68,92.3,70.9,,,
Korben,17,129.87,130.6,126.88,28.42,1,2.29,120.18,108.82,131.84,91.16,150.58,135.9,187.8,137.62,102.34,106.5,160.48,156.2,114.46,166.5,82.74,116.04,138.68
Justice,14,117.84,115.06,116.46,21.2,0,0.27,101.1,130.56,146.12,97.62,146.7,149.62,121.88,122.26,94.08,90.64,98.92,96.16,124.68,129.42,,,
Ben,17,138.81,138.69,147.63,30.43,4,1.32,99.02,165.8,156.94,129.12,216.36,130.5,150.46,100.76,97.84,121.88,141.8,150.98,98.54,142.84,144.92,152.68,159.32
James,17,127.62,120.2,109.71,28.73,0,-1.31,173.46,137.02,126.82,168.72,107.58,180.5,112.24,118.5,83.52,137.34,102.64,164.28,115.52,115.02,119.1,115.32,91.96
Saxon,14,105.37,100.68,96.2,21.41,0,0.82,123.78,100.42,103.34,159.26,104.24,101.12,110.24,98.12,101.3,68.2,108.96,123.14,77.68,95.38,,,
Houston,14,125.67,117.88,114.13,30.87,0,-0.64,123.56,198.6,111.74,153.32,135.86,148.16,137.84,86.36,125.82,68.24,111.32,125.48,124.74,108.36,,,
